title,type,paper,code,benchmark
Large Language Models Empowered Agent-based Modeling and Simulation: A Survey and Perspectives,"multi-agent sim, survey",https://arxiv.org/pdf/2312.11970,https://github.com/tsinghua-fib-lab/LLM-Agent-Based-Modeling-and-Simulation,
Wireless Multi-Agent Generative AI: From  Connected Intelligence to Collective Intelligence,multi-agent sim,https://arxiv.org/abs/2307.02757,none,
Helmsman of the Masses? Evaluate the Opinion Leadership of Large Language Models in the Werewolf Game,"multi-agent sim, persona",https://arxiv.org/abs/2404.01602,https://github.com/doslim/Evaluate-the-Opinion-Leadership-of-LLMs,
Settling Decentralized Multi-Agent Coordinated Exploration by Novelty Sharing,multi-agent collaboration,https://ojs.aaai.org/index.php/AAAI/article/view/29693,none,"GridWorld, SMAC"
Cooper: Coordinating Specialized Agents towards a Complex Dialogue Goal,multi-agent collaboration,https://ojs.aaai.org/index.php/AAAI/article/view/29739,https://github.com/YiCheng98/Cooper,"ESConv dataset, the P4G dataset"
ProAgent: Building Proactive Cooperative AI with Large Language Models,multi-agent collaboration,https://openreview.net/forum?id=4MbxdXR6vg,https://pku-proagent.github.io/,Overcooked-AI
SOTOPIA: Interactive Evaluation for Social Intelligence in Language Agents,multi-agent sim,https://openreview.net/forum?id=mM7VurbA4r,none,
Unleashing the Emergent Cognitive Synergy in Large Language Models: A Task-Solving Agent through Multi-Persona Self-Collaboration,multi-agent collaboration,https://arxiv.org/abs/2307.05300,https://github.com/MikeWangWZHL/Solo-Performance-Prompting.git,TriviaQA
AutoAgents: A Framework for Automatic Agent Generation,"multi-agent collaboration, framework",https://arxiv.org/abs/2309.17288,https://github.com/Link-AGI/AutoAgents,TriviaQA
ReConcile: Round-Table Conference Improves Reasoning via Consensus among Diverse LLMs,multi-agent collaboration,https://aclanthology.org/2024.acl-long.381/,https://github.com/dinobby/ReConcile,"StrategyQA, CSQA, GSM8K, AQuA, MATH, Date Understanding, ANLI"
RoCo: Dialectic Multi-Robot Collaboration with Large Language Models,multi-agent collaboration,https://arxiv.org/abs/2307.04738,https://project-roco.github.io/,RoCoBench(self)
MuMA-ToM: Multi-modal Multi-Agent Theory of Mind,llm evaluation,https://arxiv.org/abs/2408.12574,https://github.com/SCAI-JHU/MuMA-ToM,MuMA-ToM (self)
TRAINING SOCIALLY ALIGNED LANGUAGE MODELS  IN SIMULATED HUMAN SOCIETY,learning,https://arxiv.org/abs/2305.16960,https://github.com/agi-templar/Stable-Alignment,
Dipper: Diversity in Prompts for Producing Large Language Model Ensembles in Reasoning tasks,multi-agent collaboration,https://arxiv.org/abs/2412.15238,none,
TrendSim: Simulating Trending Topics in Social Media Under Poisoning Attacks with LLM-based Multi-agent System,multi-agent sim,https://arxiv.org/abs/2412.12196,none,"Weibo Hot Searches, Twitter Trends"
Can large language models serve as rational players in game theory? a systematic analysis,llm evaluation,https://arxiv.org/abs/2312.05488,,"dictator game, Rock-Paper-Scissors, and ring network game"
Mindagent: Emergent gaming interaction.,multi-agent collaboration,https://arxiv.org/abs/2309.09971,https://github.com/mindagent/mindagent,CuisineWorld
From Data to Story: Towards Automatic Animated Data Video Creation with LLM-Based Multi-Agent Systems,multi-agent collaboration,https://arxiv.org/abs/2408.03876,,
KnowAgent: Knowledge-Augmented Planning for LLM-Based Agents,agent,https://arxiv.org/abs/2403.03101,,
A Survey on Large Language Model-Based Game Agents,survey,https://arxiv.org/abs/2404.02039,,
Reflective Multi-Agent Collaboration based on Large Language Models,"multi-agent collaboration, framework",https://openreview.net/forum?id=wWiAR5mqXq,,
Rapid and Automated Alloy Design with Graph Neural Network-Powered LLM-Driven Multi-Agent Systems,multi-agent collaboration,https://arxiv.org/abs/2410.13768,https://github.com/lamm-mit/AlloyAgents,
MACRec: A Multi-Agent Collaboration Framework for Recommendation,"multi-agent collaboration, framework",https://dl.acm.org/doi/abs/10.1145/3626772.3657669,https://github.com/wzf2000/MACRec,
Building Cooperative Embodied Agents Modularly with Large Language Models,multi-agent collaboration,https://arxiv.org/abs/2307.02485,,
OS Agents: A Survey on MLLM-based Agents for General Computing Devices Use,"survey, agent",https://www.preprints.org/frontend/manuscript/3842b6163d82801988adf663ee18b6d5/download_pub,,
TriageAgent: Towards Better Multi-Agents Collaborations for Large Language Model-Based Clinical Triage,multi-agent collaboration,https://aclanthology.org/2024.findings-emnlp.329,https://github.com/Lucanyc/TriageAgent,
Multi-Agent VQA: Exploring Multi-Agent Foundation Models in Zero-Shot Visual Question Answering,multi-agent collaboration,https://arxiv.org/abs/2403.14783,,
DeCoAgent: Large Language Model Empowered Decentralized Autonomous Collaboration Agents Based on Smart Contracts,"multi-agent collaboration, framework",https://ieeexplore.ieee.org/abstract/document/10720018,https://github.com/AnanKing/DeCoAgent,
Spontaneous Emergence of Agent Individuality through Social Interactions in LLM-Based Communities,LLM evaluation,https://arxiv.org/abs/2411.03252,,
A multi-agent-driven robotic AI chemist enabling autonomous chemical research on demand,multi-agent collaboration,https://chemrxiv.org/engage/chemrxiv/article-details/66a625c001103d79c5043c48,,
MALMM: Multi-Agent Large Language Models for Zero-Shot Robotics Manipulation,"multi-agent collaboration, framework",https://arxiv.org/abs/2411.17636,,
InvAgent: A Large Language Model based Multi-Agent System for Inventory Management in Supply Chains,communication optimization,https://arxiv.org/abs/2407.11384,https://github.com/zefang-liu/InvAgent,
Regulator-Manufacturer AI Agents Modeling: Mathematical Feedback-Driven Multi-Agent LLM Framework,"framework, llm evaluation",https://arxiv.org/abs/2411.15356,,
On the limits of agency in agent-based models,LLM evaluation,https://arxiv.org/abs/2409.10568,,
Enhancing Anomaly Detection in Financial Markets with an LLM-based Multi-Agent Framework,"framework, multi-agent collaboration",https://arxiv.org/abs/2403.19735,,
On Generative Agents in Recommendation,multi-agent sim,https://dl.acm.org/doi/abs/10.1145/3626772.3657844,none,
AgentCF: Collaborative Learning with Autonomous Language Agents for Recommender Systems,multi-agent collaboration,https://dl.acm.org/doi/abs/10.1145/3626772.3657844,https://github.com/RUCAIBox/AgentCF,
